project,Sample name,n_ecDNA_amplicons
CESC,TCGA-C5-A1M9-01A-11D-A200-09_MN_10A-01D-A200,1
CESC,TCGA-C5-A2M1-01A-11D-A18I-02_MN_10A-01D-A18I,1
CESC,TCGA-DS-A0VL-01A-21D-A200-09_MN_10A-01D-A200,1
CESC,TCGA-EA-A3QD-01A-32D-A232-26_MN_10A-01D-A232,1
CESC,TCGA-EK-A2PL-01A-11D-A18I-02_MN_10A-01D-A18I,1
CESC,TCGA-EK-A2RM-01A-21D-A18J-09_MN_10A-01D-A18J,1
CESC,TCGA-EK-A3GM-01A-11D-A20X-26_MN_10A-01D-A20X,1
CESC,TCGA-EX-A3L1-01A-11D-A245-26_MN_10A-01D-A245,1
CESC,TCGA-IR-A3LA-01A-11D-A232-26_MN_10A-01D-A232,1
CESC,TCGA-IR-A3LH-01A-21D-A20X-26_MN_10A-01D-A20X,1
COAD,TCGA-A6-2677-01A-01D-A46W-08_MN_10A-01D-A46W,2
COAD,TCGA-A6-3810-01A-01D-A46W-08_MN_10A-01D-A46W,1
DLBC,TCGA-FF-8042-01A-11D-2210-10_MN_10A-01D-2210,1
ESCA,TCGA-L5-A4OH-01A-11D-A267-26_MN_11A-11D-A267,2
ESCA,TCGA-L5-A4OJ-01A-11D-A267-26_MN_11A-12D-A267,2
ESCA,TCGA-LN-A49V-01A-11D-A248-26_MN_10A-01D-A248,2
ESCA,TCGA-IG-A3I8-01A-11D-A248-26_MN_10A-01D-A248,1
ESCA,TCGA-IG-A3I8-01A-11D-A248-26_MN_11A-11D-A248,1
ESCA,TCGA-IG-A3YB-01A-11D-A248-26_MN_10A-01D-A248,1
ESCA,TCGA-IG-A50L-01A-11D-A267-26_MN_10A-01D-A267,1
ESCA,TCGA-L5-A43I-01A-11D-A248-26_MN_11A-11D-A248,1
ESCA,TCGA-L5-A43M-01A-11D-A248-26_MN_11A-11D-A248,1
ESCA,TCGA-L5-A4OS-01A-11D-A28P-26_MN_11A-11D-A28P,1
ESCA,TCGA-L5-A4OT-01A-11D-A28P-26_MN_11A-11D-A28P,1
ESCA,TCGA-LN-A49L-01A-11D-A248-26_MN_10A-01D-A248,1
ESCA,TCGA-LN-A49O-01A-11D-A248-26_MN_10A-01D-A248,1
ESCA,TCGA-LN-A49P-01A-11D-A248-26_MN_10A-01D-A248,1
ESCA,TCGA-LN-A49W-01A-11D-A267-26_MN_10A-01D-A267,1
ESCA,TCGA-LN-A49Y-01A-11D-A267-26_MN_10A-01D-A267,1
GBM,TCGA-02-2485-01A-01D-1494-08_MN_10A-01D-1494,3
GBM,TCGA-06-0214-01A-02D-0512-09_MN_10A-01D-0512,3
GBM,TCGA-06-0214-01A-02D-1491-08_MN_10A-01D-1491,3
GBM,TCGA-19-5960-01A-11D-1696-08_MN_10A-01D-1696,3
GBM,TCGA-06-0145-01A-01D-0507-08_MN_10A-01D-0507,2
GBM,TCGA-06-0155-01B-01D-0932-09_MN_10A-01D-0703,2
GBM,TCGA-06-0157-01A-01D-1491-08_MN_10A-01D-1491,2
GBM,TCGA-06-0210-01A-01D-1491-08_MN_10A-01D-1491,2
