Classification,x,density
Complex non-cyclic,5.341709,0.00427965
Complex non-cyclic,5.432161,0.00382884
Complex non-cyclic,5.522613,0.00346454
Complex non-cyclic,5.613065,0.00321781
Complex non-cyclic,5.703518,0.00308888
Complex non-cyclic,5.79397,0.00305311
Complex non-cyclic,5.884422,0.00307496
Complex non-cyclic,5.974874,0.00312477
Complex non-cyclic,6.065327,0.00319273
Complex non-cyclic,6.155779,0.00329525
Complex non-cyclic,6.246231,0.00347113
Complex non-cyclic,6.336683,0.00376813
Complex non-cyclic,6.427136,0.00422341
Complex non-cyclic,6.517588,0.00484382
Complex non-cyclic,6.60804,0.00559253
Complex non-cyclic,6.698492,0.0063874
Complex non-cyclic,6.788945,0.00711318
Complex non-cyclic,6.879397,0.00764527
Complex non-cyclic,6.969849,0.00787873
Complex non-cyclic,7.060302,0.00775379
Complex non-cyclic,7.150754,0.00727008
Complex non-cyclic,7.241206,0.0064854
Complex non-cyclic,7.331658,0.00550004
Complex non-cyclic,7.422111,0.00443233
Complex non-cyclic,7.512563,0.00339333
Complex non-cyclic,7.603015,0.00246766
Complex non-cyclic,7.693467,0.0017044
Complex non-cyclic,7.78392,0.00111807
Complex non-cyclic,7.874372,0.00069657
Complex non-cyclic,7.964824,0.00041215
Complex non-cyclic,8.055276,0.00023161
Complex non-cyclic,8.145729,0.00012364
Complex non-cyclic,8.236181,6.278e-05
Complex non-cyclic,8.326633,3.053e-05
Complex non-cyclic,8.417085,1.474e-05
Complex non-cyclic,8.507538,8.28e-06
Complex non-cyclic,8.59799,7.72e-06
Complex non-cyclic,8.688442,1.236e-05
Complex non-cyclic,8.778894,2.383e-05
Complex non-cyclic,8.869347,4.603e-05
Complex non-cyclic,8.959799,8.533e-05
Complex non-cyclic,9.050251,0.00015049
Complex non-cyclic,9.140704,0.00025213
Complex non-cyclic,9.231156,0.00040121
Complex non-cyclic,9.321608,0.00060633
Complex non-cyclic,9.41206,0.00087021
Complex non-cyclic,9.502513,0.0011861
Complex non-cyclic,9.592965,0.00153534
Complex non-cyclic,9.683417,0.00188743
Complex non-cyclic,9.773869,0.00220354
Complex non-cyclic,9.864322,0.00244317
Complex non-cyclic,9.954774,0.00257259
Complex non-cyclic,10.045226,0.00257259
Complex non-cyclic,10.135678,0.00244317
Complex non-cyclic,10.226131,0.00220354
Complex non-cyclic,10.316583,0.00188743
Complex non-cyclic,10.407035,0.00153534
Complex non-cyclic,10.497487,0.0011861
